jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
2,AL MEHAIRI Suhail,UAE,True,F,1,0,1,0,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
3,AL DHAHERI Mohammed,UAE,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
9,AL SHAMSI Omar,UAE,True,F,0,1,1,0,3,1.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
12,AL BLOOSHI Faisal,UAE,True,F,0,0,0,0,3,1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
14,AL YAFEAI Salem,UAE,True,F,0,0,0,2,2,2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
6,ALSUWAIDI Ahmed,UAE,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
15,KARKOTSKI Artsiom,UAE,True,F,1,1,2,0,2,2.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
22,AL ZAABI Mohamed,UAE,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
1,AL SUWAIDI Khaled,UAE,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
20,AL DHAHERI Ahmed,UAE,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
3,TO Hei Yu,HKG,False,F,0,0,0,0,3,-2.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
6,LO Linus Kim,HKG,False,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
