jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
21,MUSIC Samir,BIH,True,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
8,DRNDA Adi,BIH,True,F,0,0,0,0,3,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
11,MRKVA Haris,BIH,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
16,MISKIC Denny,BIH,True,F,0,0,0,0,4,0.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
23,LONDON Anthony,BIH,True,D,0,1,1,0,2,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
24,DINALIC Muhamed,BIH,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
3,GAKOVIC Nikko,BIH,True,F,1,1,2,0,9,1.0,0:00,0.0,0:00,3,0:00,3,0:00,3,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
4,ALIC Nermin,BIH,True,D,1,0,1,0,3,0.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
10,PILAV Admir,BIH,True,D,0,0,0,2,2,0.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
18,CATOVIC Tarik,BIH,True,F,0,1,1,2,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
22,MRKVA Tarik,BIH,True,F,1,1,2,0,3,1.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
14,KREHIC Tarik,BIH,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
15,MUHIC Benjamin,BIH,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
1,AHMETOVSKI Karim,BIH,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
20,PASOVIC Dino,BIH,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
5,KINDBORN Ken Edvin,THA,False,D,0,2,2,4,8,5.0,0:00,0.0,0:00,3,0:00,1,0:00,4,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
11,FORSTNER Patrick,THA,False,F,1,2,3,0,6,4.0,0:00,0.0,0:00,2,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
14,SUWACHIRAT Phanuruj,THA,False,F,2,0,2,0,4,3.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
15,NAGAYAMA Hideki,THA,False,D,0,2,2,0,2,4.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
21,ISAKSSON Jan Mikael,THA,False,F,1,2,3,0,4,5.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
4,THANAKROEKKIAT Papan,THA,False,D,0,0,0,0,4,0.0,0:00,0.0,0:00,0,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
7,KHUHAKAEW Phandaj,THA,False,F,0,0,0,2,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
9,HARNCHAIPIBULGUL Poon,THA,False,D,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
22,PHASUKKIJWATANA Punn,THA,False,D,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
23,KITAYAMA Masato,THA,False,F,4,0,4,0,6,2.0,0:00,0.0,0:00,1,0:00,2,0:00,3,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
10,JARATWUTTIPREEDA Krittapad,THA,False,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
12,CHAN-URAI Ramin,THA,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
17,LUCKANATINAKORN Nathaphat,THA,False,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
18,PHATIGULSATE Nattasate,THA,False,F,0,0,0,0,2,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
