jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
11,NEVILLE-LAMB Rachael,NZL,True,D,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
12,KIVELL Jana,NZL,True,F,0,2,2,0,4,3.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
15,GREGORY Hope,NZL,True,F,3,1,4,0,8,5.0,0:00,0.0,0:00,5,0:00,2,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
17,WOODYEAR-SMITH Krystie,NZL,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
6,MURRAY Helen,NZL,True,F,2,0,2,0,4,4.0,0:00,0.0,0:00,1,0:00,1,0:00,2,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
7,KLOSS Emma,NZL,True,F,0,1,1,2,4,2.0,0:00,0.0,0:00,1,0:00,0,0:00,3,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
8,HEALE Abbey,NZL,True,D,0,1,1,0,2,2.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
16,WATT Rina,NZL,True,D,0,0,0,2,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
18,LILLY Rebecca,NZL,True,D,1,0,1,0,1,4.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
2,MILLS Gabrielle,NZL,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
5,BRUCE Terryn,NZL,True,F,0,0,0,0,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
19,HAROLD Sophie,NZL,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
1,STRAYER Danielle,NZL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
20,HYDE Lochlyn Marie,NZL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
2,BULJETA Lea,CRO,False,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
6,SMOLEC Martina,CRO,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
16,CAVKA Tena,CRO,False,D,0,1,1,12,1,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
17,CAVKA Eva,CRO,False,F,0,0,0,2,4,0.0,0:00,0.0,0:00,0,0:00,1,0:00,3,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
22,KADIJEVIC Anja,CRO,False,F,1,0,1,0,3,0.0,0:00,0.0,0:00,1,0:00,0,0:00,2,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
4,VRBANCIC FABIC Marta,CRO,False,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
10,MURANIC Sara,CRO,False,F,0,0,0,0,1,-6.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
12,GURKA Vesna,CRO,False,F,0,0,0,0,1,-6.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
13,ANTIC Ana-Marija,CRO,False,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
24,GORSIC Marta,CRO,False,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
5,LONCAREVIC Hana,CRO,False,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
9,SOJAT Karla,CRO,False,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
14,MATAK Noa,CRO,False,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
19,RIMAJ Nika,CRO,False,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
23,SIMIC Nika,CRO,False,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
3,PRETULA Lucija,CRO,False,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
7,MIKSIC Leonarda,CRO,False,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2020/wwiib/gamecenter/statistics/14653/2-nzl-vs-cro,https://www.iihf.com//en/events/2020/wwiib/gamecenter/playbyplay/14653/2-nzl-vs-cro,,
